title;author;soldBy;stars;price;isKindleUnlimited;isBestSeller;Genre;publishedYear
They Never Learn;Layne Fargo;Simon and Schuster Digital Sales Inc;4.2;13.99;TRUE;TRUE;Mystery, Thriller & Suspense;2020
The Golden Couple: A Novel;Greer Hendricks;Macmillan;4.4;12.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
If It Bleeds: Mr. Harrigan's Phone, The Life of Chuck, Rat;Stephen King;Simon and Schuster Digital Sales Inc;4.6;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2020
Vera Wong's Unsolicited Advice for Murderers;Jesse Q. Sutanto;Penguin Group (USA) LLC;4.4;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
11/22/63: A Novel;Stephen King;Simon and Schuster Digital Sales Inc;4.6;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2011
Apples Never Fall;Liane Moriarty;Macmillan;4.2;9.99;TRUE;FALSE;Mystery, Thriller & Suspense;2021
On a Quiet Street;Seraphina Nova Glass;Harlequin Digital Sales Corp.;4.3;12.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
The Searcher: A Novel;Tana French;Penguin Group (USA) LLC;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2020
Satan's Affair;H. D. Carlton;Amazon.com Services LLC;4;2.99;TRUE;FALSE;Mystery, Thriller & Suspense;2021
You Shouldn’t Have Come Here;Jeneva Rose;Amazon.com Services LLC;4;8.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Recursion: A Novel;Blake Crouch;Random House LLC;4.4;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2019
Lost in Time;A.G. Riddle;Amazon.com Services LLC;4.4;11.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
Someone We Know: A Novel;Shari Lapena;Penguin Group (USA) LLC;4.4;1.99;FALSE;FALSE;Mystery, Thriller & Suspense;2019
Flags on the Bayou: A Novel;James Lee Burke;Amazon.com Services LLC;4.2;9.24;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Hike;Lucy Clarke;Penguin Group (USA) LLC;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
'Salem's Lot;Stephen King;Random House LLC;4.6;9.99;FALSE;TRUE;Mystery, Thriller & Suspense;2008
The Senator's Wife: A Novel;Liv Constantine;Random House LLC;4.2;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Broker: An Enemies-to-Lovers Mafia Romance;Tara Crescent;Amazon.com Services LLC;4.3;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The Broker: A Novel;John Grisham;Random House LLC;4.4;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2010
Billy Summers;Stephen King;Simon and Schuster Digital Sales Inc;4.6;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
Brain Damage: A twisted psychological thriller that will keep you guessing;Freida McFadden;Amazon.com Services LLC;4.4;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2016
The Push: A Novel;Ashley Audrain;Penguin Group (USA) LLC;4.3;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
What Lies in the Woods: A Novel;Kate Alice Marshall;Macmillan;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Suicide Med: A gripping psychological thriller;Freida McFadden;Amazon.com Services LLC;4.1;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2014
All Good People Here: A Novel;Ashley Flowers;Random House LLC;4.4;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
The Violin Conspiracy: A Novel;Brendan Slocumb;Random House LLC;4.4;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
The Perfect Child;Lucinda Berry;Amazon.com Services LLC;4.3;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2019
Where the Forest Meets the Stars;Glendy Vanderah;Amazon.com Services LLC;4.4;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2019
